equipo,grupo,ranking_fifa,rating_eafc26,primera_vez,tm_value_m,elim_pos,elim_total,tit_rec,pos_rec,tit_ant,pos_ant,conf,cwc_raw,fic_raw,pos_wc22,pos_wc18,ranking_score,tm_cat,elim_raw,copa_score,torneo_score,wc_score
Curazao,E,110,50,1,12,3,4,0,13,0,13,CONCACAF,0.0,0.0,99,99,100,0,0.25,0.0,0.45,0.0
Costa de Marfil,E,34,69,0,140,1,6,1,1,0,9,CAF,0.0,0.0,99,99,176,1,0.8333,0.5029,1.4999,0.0
Ecuador,E,23,70,0,100,4,10,0,5,0,13,CONMEBOL,0.0,0.0,17,99,187,1,0.6,0.1517,1.08,1.3191
Países Bajos,F,7,83,0,820,1,5,0,3,0,9,UEFA,0.0,0.0,5,17,203,3,0.8,0.24,1.44,2.5556
Japón,F,18,73,0,260,1,8,0,5,0,2,AFC,0.1,0.0,9,17,192,1,0.875,0.1547,1.855,2.3854
Suecia,F,38,78,0,160,2,5,0,13,0,9,UEFA,0.0,0.0,99,17,172,1,0.6,0.04,1.08,0.7258
Túnez,F,44,63,0,60,2,6,0,13,0,13,CAF,0.1,0.0,17,17,166,0,0.6667,0.0,1.4801,2.045
Bélgica,G,9,78,0,580,1,5,0,13,0,5,UEFA,0.0,0.0,17,17,201,2,0.8,0.08,1.44,2.045
Egipto,G,29,72,0,70,1,6,0,13,0,2,CAF,0.0,0.1,99,99,181,0,0.8333,0.0814,1.7199,0.0
Irán,G,21,69,0,55,1,8,0,3,0,13,AFC,0.0,0.0,17,17,189,0,0.875,0.1146,1.575,2.045
Nueva Zelanda,G,95,55,0,20,1,5,2,1,2,1,OFC,0.1,0.0,99,99,115,0,0.8,0.1787,1.72,0.0
España,H,2,85,0,1050,1,5,1,1,0,3,UEFA,0.65,0.0,17,9,208,3,0.8,0.74,3.26,2.4321
Cabo Verde,H,69,57,1,15,3,6,0,9,0,13,CAF,0.0,0.0,99,99,141,0,0.5,0.0592,0.9,0.0
Arabia Saudita,H,61,60,0,65,3,8,0,9,0,13,AFC,0.45,0.0,17,17,149,0,0.625,0.0458,2.385,2.045
Uruguay,H,17,76,0,320,3,10,0,3,0,4,CONMEBOL,0.0,0.0,17,17,193,1,0.7,0.2749,1.26,2.045
Francia,I,1,85,0,1280,1,5,0,3,0,9,UEFA,0.85,1.0,2,1,209,3,0.8,0.24,6.02,3.4574
Senegal,I,14,73,0,280,1,6,0,2,1,1,CAF,0.0,0.0,17,17,196,1,0.8333,0.3994,1.4999,2.045
Iraq,I,57,58,0,22,5,6,0,9,0,13,AFC,0.0,0.0,99,99,153,0,0.1667,0.0458,0.3001,0.0
Noruega,I,31,78,0,510,2,5,0,99,0,99,UEFA,0.0,0.0,99,99,179,2,0.6,0.0,1.08,0.0
Argentina,J,3,83,0,620,1,10,2,1,2,1,CONMEBOL,0.1,0.0,1,17,207,2,0.9,1.4788,1.9,2.7258
Argelia,J,28,70,0,90,2,6,0,13,0,13,CAF,0.0,0.0,17,17,182,0,0.6667,0.0,1.2001,2.045
Austria,J,24,72,0,220,1,5,0,9,0,9,UEFA,0.0,0.0,99,99,186,1,0.8,0.12,1.44,0.0
Jordania,J,63,55,1,18,4,8,0,2,0,13,AFC,0.0,0.0,99,99,147,0,0.5,0.126,0.9,0.0
Portugal,K,5,84,0,780,1,5,0,5,0,9,UEFA,0.25,0.0,9,17,205,3,0.8,0.2,2.14,2.3854
DR Congo,K,46,60,0,65,5,6,0,3,0,13,CAF,0.0,0.0,99,99,164,0,0.1667,0.1479,0.3001,0.0
Uzbekistán,K,50,57,1,45,5,8,0,5,0,13,AFC,0.0,0.0,99,99,160,0,0.375,0.0917,0.675,0.0
Colombia,K,13,76,0,380,5,10,0,2,0,3,CONMEBOL,0.0,0.0,17,17,197,1,0.5,0.3033,0.9,2.045
Inglaterra,L,4,84,0,1400,1,5,0,2,0,2,UEFA,1.0,0.0,9,4,206,3,0.8,0.33,4.24,3.0144
Croacia,L,11,79,0,380,1,5,0,13,0,9,UEFA,0.0,0.0,3,2,199,1,0.8,0.04,1.44,3.3665
Ghana,L,55,64,0,75,1,6,0,13,0,13,CAF,0.0,0.0,17,17,155,0,0.8333,0.0,1.4999,2.045
Panamá,L,33,62,0,30,2,4,0,2,0,13,CONCACAF,0.0,0.0,17,17,177,0,0.5,0.11,0.9,2.045
